nom;quantitee;preparation
Parfum Gourmand;2 cl de crème de cassis,12 cl de vin blanc sec,6 feuilles de basilic;Dans un verre à vin rempli de glace pilée, versez la crème de cassis et le vin blanc. Ajoutez les feuilles de basilic et mélangez à la cuillère. 
Label Sour;4 cl de scotch whisky,2 cl de jus de citron,2 cl de sirop de canne;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky, 2 cl de jus de citron pressé, 2 cl de sirop de canne. Shakez et servez dans un verre à cocktail. 
Karamello;4 cl de cachaça,2 cl de sirop de caramel,6 cl de nectar de poire;Dans un shaker, versez les ingrédients puis secouez énergiquement.Versez dans un verre à cocktail. 
Red Purple;3 cl de vodka,3 cl de crème de cassis,8 cl de jus de fraise,8 cl de nectar de mangue;Dans un shaker rempli de glaçons, versez tous les ingrédients puis secouez énergiquement. 
Royal Angel;3 cl de Saint Raphaël rouge,3 cl de champagne,1 cl de crème de framboise,3 cl de jus d'orange;Dans un shaker rempli à moitié de glaçons, versez 3 cl de  Saint Raphaël rouge, 1 cl de crème de framboise et 3 cl de jus d'orange. Shakez et filtrez dans un verre à pied. Ajoutez le champagne. 
Cherryllini;4 cl de champagne,2 cl de crème de cerise,2 cl de nectar de pêche;Dans un shaker rempli à moitié de glaçons, versez  2 cl de crème de cerise et 2 cl de nectar de pêche. Shakez puis filtrez dans une coupe de champagne. Allongez de champagne. 
Xalapa;3 cl de téquila,3 cl de crème de cacao,3 cl de crème fraîche;Dans un shaker rempli à moitié de glaçons, versez 3 cl de téquila, 3 cl de crème fraîche, 3 cl de crème de cacao. Shakez et filtrez dans un verre à cocktail. 
Délices de bulles;5 cl de rivesaltes ambré,5 cl tonic,1 cl de sirop de citron;Dans un verre long drink rempli de glaçons, versez 5 cl de rivesaltes ambré. Allongez de tonic et terminez par 1 cl de sirop de citron. 
Rosita;4 cl de rhum blanc 55°,2 cl de liqueur de pamplemousse rose,1 cl de jus de fraise;Au shaker, mélangez les ingrédients et complétez avec de la glace. Secouez et versez dans un verre à cocktail en retenant les glaçons. 
Hong Kong Bay;3 cl de scotch whisky,2 cl de liqueur de mandarine,4 cl de nectar de mangue;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky, 2 cl de liqueur de mandarine, 4 cl de nectar de mangue. Shakez et filtrez dans un verre à cocktail. 
Blood berry;5 cl de vodka red,8 cl de jus de framboise;Dans un verre long drink rempli de glaçons, versez 5 cl de vodka red. Allongez de 8 cl de jus de framboise et mélangez. 
Samba Sun;4 cl de cocktail Mojito,4 cl de goyave,1 branche de menthe effeuillée écrasée;Dans un shaker, mélangez les nectars avec les feuilles de menthe écrasées. Secouez énergiquement puis versez dans le verre rempli de glace pilée. 
Cinnamon Delice;4 cl de rhum blanc,2 cl de crème de framboise,8 cl de jus de pomme,1 pincée de cannelle;Dans un verre tumbler rempli de glace, versez la crème de framboise, le rhum et le jus de pomme, puis remuez à la cuillère. Ajoutez une pincée de cannelle. Vous pouvez également réaliser ce cocktail au shaker. 
Label's Blackberry;4 cl de whisky,2 cl de sirop de mûre,4 cl de nectar cranberry;Dans un verre long drink rempli de glaçons, versez 4 cl de whisky, 2 cl de sirop de mûre, 4 cl de nectar de cranberry 
Sweet William;4 cl de vodka,4 cl de nectar de poire,1 cl de sirop de caramel;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 4 cl de nectar de poire, 1 cl de sirop de caramel. Shakez et filtrez dans un verre à cocktail. 
Violette Royale;Champagne,2 cl de crème de violette;Dans une flûte à champagne, versez la crème de violette et allongez de champagne. 
Mint Julep;6 cl de scotch whisky,1 trait de bitter Angostura,1 cl de sirop de canne,5 feuilles de menthe;Dans un grand verre, mettez le sirop de canne avec les feuilles de menthe fraîches. Ecrasez avec le pilon puis remplissez avec de la glace pilée. Ajoutez le whisky. 
Strawberry Daïquiri;6 cl de rhum blanc 40°,2 cl de sirop de canne,4 cl de jus de fraise,jus d'un demi citron vert;Dans un shaker, mélangez tous les ingrédients. Secouez énergiquement puis versez dans un verre à cocktail. 
Wine Caïpi;2 cl de crème de framboise,12 cl de vin blanc moelleux,1 rondelle de gingembre,1 quartier de citron vert;Pressez le quartier de citron dans un verre à vin, versez tous les ingrédients et complétez de glaçons, puis remuez à la cuillère. 
Apple Label;4 cl de scotch whisky,2 cl de jus pomme,1 cl de jus de citron,1 cl de miel;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky, 2 cl de jus de pomme, 1 cl de citron pressé, 1 cuillère de miel. Shakez et filtrez dans un verre à cocktail. 
Orlando;4 cl de cachaça,2 cl de liqueur d'abricot,10 cl de nectar de cranberry,1 trait de sirop de grenadine,2 cl de jus de citron vert;Dans un verre long drink rempli de glaçons, versez la cachaça, la liqueur, le nectar et le jus de citron. Ajoutez un trait de sirop de grenadine. 
Brazilian Rose;5 cl de cachaça,1,5 cl de triple sec,10 cl de nectar de goyave;Dans un shaker rempli de glace, mélangez les ingrédients et secouez énergiquement. Versez dans un verre à cocktail en filtrant les glaçons. 
Golf stream;2 cl de tequila,2 cl de crème de framboise,5 cl de jus goyave-framboise;Dans un shaker rempli à moitié de glaçons, versez : 2 cl de tequila, 2 cl de crème de framboise et 5 cl de goyave-framboise. Secouez et filtrez dans un verre à cocktail. 
Edouard;4 cl de scotch whisky,4 cl de triple sec,2 cl de crème de framboise,2 cl de sirop de canne;Dans un shaker rempli de glaçons, versez les ingrédients puis secouez énergiquement. 
Alexan'Dillon;4 cl de rhum vieux,2 cl de crème de cacao brun,4 cl de lait concentré sucré;Dans un shaker, mélangez le rhum, le lait concentré et la crème de cacao. Agitez énergiquement puis servez sur glace dans un verre à cocktail. 
Lemon Squash;nectar de citron vert,1 trait de sirop de gomme,eau gazeuse,spray bitter citron;Dans un tumbler, versez un trait de sirop de gomme, et ajoutez deux cubes de glace. Complétez pour moitié de nectar de citron vert et moitié d'eau gazeuse. Ajoutez un spray de bitter citron. Remuez à la cuillère avant de déguster. 
Backstage;4 cl de vodka,2 cl de crème de violette,12 cl de jus de citron jaune;Dans un verre tumbler, versez tous les ingrédients et remplissez de glaçons 
Délice;4 cl de vodka,1 cl de sirop de caramel,8 cl de jus de pomme;Dans un shaker, versez les ingrédients et ajoutez les glaçons. Frappez puis passez dans un verre à cocktail. 
Daïquiri;6 cl de rhum blanc ou doré, 4 cl de nectar de citron vert, 2 cl de sirop de canne;Dans un verre à cocktail, mélangez les ingrédients. Ajoutez les glaçons. Dégustez-le avec une paille. Astuce : le daïquiri est également délicieux en remplaçant le rhum blanc par le rhum doré. Vous pouvez également réaliser ce cocktail au shaker. 
Frozen Pink;6 cl de porto rosé,10 framboises congelés;Dans un blender, disposez les 10 framboises congelés, versez 6 cl de porto rosé. Mixez le tout et servez dans un verre à cocktail. 
Energy SIR;4 cl de scotch whisky,6 cl de nectar de goyave,1 cl de sirop de citron;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky, 6 cl de nectar de goyave, 1 cl de sirop de citron. Shakez et servez dans un verre à cocktail. 
Roza;4 cl de tequila,6 cl de lait,2 cl de sirop de fraise;Dans un shaker rempli à moitié de glaçons, versez 4 cl de tequila, 6 cl de lait, 2 cl de sirop de fraise. Shakez et versez dans un verre à cocktail. 
Zèbre;4 cl de nectar de banane,6 cl de cocktail Piña Colada,sirop de chocolat;Au blender rempli de glace, mélangez le nectar de banane et le cocktail Piña Colada. Décorez votre verre à pied d'un ruban de sirop de chocolat. Versez doucement le mélange dans le verre et servez rapidement. 
Black Fizz;5 cl de vodka Black,8 cl de tonic;Dans un verre long drink rempli de glaçons, versez 5 cl de vodka black.Allongez de limonade et mélangez. 
Fresh Pink;3 cl de vodka,3 cl de liqueur de cerise,4 cl de nectar de goyave,1 cl de sirop de rose,1 dé de citron vert;Dans un shaker rempli à moitié de glaçons, versez 3 cl de vodka, 3 cl de liqueur de cerise, 4 cl de nectar de goyave, 1 cl de sirop de rose, 1 dé de citron vert pressé. Shakez et filtrez dans un verre à cocktail. 
Sweet Pink;5 cl de porto rosé,1 cl de crème de framboise,5 cl de nectar de goyave;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto rosé, 5 cl de nectar de goyave, 1 cl de crème de framboise. Shakez et filtrez dans un verre à cocktail. 
Orange Sir;4 cl de whisky ,12 cl de Cocktail d'oranges;Dans un verre long drink rempli de glaçons, versez : 4 cl de whisky, 12 cl de Cocktail d'oranges. 
Smoothiepinky;6 cl de jus d'ananas,2 cl de lait entier,un quartier de pomme,2 fraises;Versez tous les ingrédients dans un blender rempli de glace. Mixez et dégustez dans un verre à cocktail. 
Porto Melon;Porto,Melon;Coupez un petit melon en deux, creusez des billes dans chaque moitié et déposez les dans les écorces. Arrosez de porto blanc ou tawny et décorez d'une feuille de menthe. 
Pink Lady;5 cl de porto rosé,5 cl de jus de framboise,1 cl de sirop de cerise;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto rosé, 5 cl de jus de framboise, 1 cl de sirop de cerise. Shakez et filtrez dans un verre à cocktail. 
Batida de Manga;4 cl de cachaça,6 cl de nectar de mangue,1 cl de sirop de canne;Réalisez la Batida de Manga au shaker. Mélangez tous les ingrédients et versez dans un verre rempli de glace de type tumbler. 
Thessaloniki;5 cl de muscat de Samos,4 cl de jus de fraise,1 cl de liqueur de cerise;Dans un shaker rempli à moitié de glaçons, versez 5 cl de muscat de Samos, 4 cl de jus de fraise et 1 cl de liqueur de cerise. Shakez et filtrez dans un verre à cocktail. 
GK Daikiri;5 cl de rhum blanc,2 cl de guignolet royal,2 cl de sirop de canne,3 cl de jus de citron vert;Versez tous les ingrédients dans un verre à cocktail. 
Brighton;4 cl de gin,4 cl de jus de pomme,2 cl de nectar de citron vert,1 à 2 cl de sirop de grenadine;Dans un shaker rempli à moitié de glaçons, versez 4 cl de gin, 4 cl de jus de pomme, 2 cl de nectar de citron vert. Shakez et versez le tout dans un verre à cocktail. Ajoutez 1 à 2 cl de sirop de grenadine. 
Milkshake coco;7 cl de nectar de Lococo,3 cl de lait entier,2 cl de sirop de vanille;Versez tous les ingrédients dans un blender rempli de glace et mixez. Servez dans un verre à cocktail. 
Ultraviolet;4 cl de vodka,2 cl de triple sec,2 cl de sirop de violette,2 cl de jus de citron pressé;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 2 cl de triple sec, 2 cl de sirop de violette et 2 cl de jus de citron pressé. Shakez et versez dans un verre à cocktail. 
Tapis rouge;4 cl de porto blanc,4 cl de liqueur de cerise;Dans un shaker rempli à moitié de glaçons, versez 4 cl de porto blanc et 4 cl de liqueur de cerise. Shakez et filtrez dans un verre à cocktail. 
Red Lady;5 cl de porto rosé,4 cl de jus de fraise,2 cl de liqueur de cerise;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto rosé, 5 cl de jus de fraise, 1 cl de liqueur de cerise. Shakez et filtrez dans un verre à cocktail. Décorez avec 2 griottes sur un pic. 
Planteur Mango;4 cl de rhum ambré,4 cl de nectar de mangue,4 cl de jus d'orange,2 cl de sirop de grenadine;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum ambré, 4 cl jus d'orange, 4 cl de nectar de mangue, 2 cl de sirop de grenadine. Shakez et versez dans un verre à cocktail. 
Perfect Colada;4 cl de rhum ambré,6 cl de jus d'ananas,4 cl de crème de coco,5 dés d'ananas;Versez tous les ingrédients dans un blender rempli de glace, mixez et dégustez. 
Passion Label;4 cl de scotch whisky,4 cl de nectar de maracuja,2 cl de sucre de canne,1/2 citron vert;Dans un verre long drink, versez 2 cl de sucre de canne, pilez 1/2 citron vert, puis ajoutez 4 cl de scotch whisky. Remplissez ensuite la moitié du verre de glaçons et rajoutez 4 cl de nectar de maracuja. 
Vegas dream;2 cl de scotch whisky,2 cl de liqueur de cerise,4 cl de nectar de banane;Dans un shaker rempli à moitié de glaçons, versez 2 cl de whisky, 2 cl de liqueur de cerise, 4 cl de nectar de banane. Shakez et filtrez dans un verre à pied. 
Valauria Sweet Mojito;8 cl de muscat,un trait de sirop de fraise,8 cl d'eau gazeuse,5 feuilles de menthe fraîche;Dans un verre, écrasez délicatement les feuilles de menthe puis ajoutez le muscat. Servez avec de la glace pilée. 
Exotic Granada;3 cl de rhum ambré,2 cl de jus de pomme,4 cl de jus de fraise,2 cl de liqueur de cerise;Dans un shaker rempli à moitié de glaçons, versez 3 cl de rhum ambré, 2 cl de jus de pomme, 4 cl de jus de fraise, 2 cl de liqueur de cerise. Shakez et versez dans un verre à cocktail. 
Pretty Pink;4 cl de rhum blanc 55°,4 cl de jus de pamplemousse,4 cl de nectar de cranberry,4 cl de crème de coco;Dans un shaker, mélangez le rhum, les jus et la crème de coco. Complétez avec de la glace. Secouez énergiquement puis versez dans un verre long drink. 
GK Sunrise;4 cl de guignolet royal,12 cl de jus d'orange,1 trait de grenadine;Dans un shaker, déposez quelques glaçons, puis ajoutez les ingrédients en terminant par le sirop. Shakez et versez dans un verre long drink. Décorez avec une rondelle d'orange. 
Pink Mojito;5 cl de porto rosé,10 cl d'eau gazeuse,1/2 citron,6 à 8 feuilles de menthe,2 petites cuillères de cassonade;Dans un verre à cocktail, mettre 5 feuilles de menthe, un demi citron vert et la cassonade. Pilez-le tout. Ajoutez de la glace pilée, 5 cl de porto rosé, 10 cl d'eau gazeuse et mélangez. 
Dry Pussy Foot;4 cl de rhum blanc 50°,4 cl de lait de coco,4 cl de jus d'ananas,4 cl de nectar de citron vert,4 cl de nectar de cerise;Dans un shaker, versez le rhum, les jus de fruits et le lait de coco. Agitez énergiquement et versez dans un verre long drink rempli de glace. 
Freezy Sunrise;4 cl de vodka,jus de pamplemousse;Dans un verre long drink rempli de glaçons, versez 4 cl de vodka. Complétez de jus de pamplemousse. 
Mojito Royal;4 cl de rhum ambré,2 cl de sirop de canne,champagne,1/2 citron vert coupé en dés,6 à 8 feuilles de menthe fraîche;Dans un verre à Mojito, disposez 6 à 8 feuilles de menthe, 1/2 citron vert coupé en dés et 2 cl de sirop de canne. Pilez et versez 4 cl de rhum ambré. Ajoutez de la glace pilée et allongez de champagne. Mélangez de bas en haut avec une cuillère à mélange. 
Fraîcheur Soleil;6 cl de rivesaltes rosé,1 cl de sirop de grenadine,4 cl de nectar de maracuja,4 cl de nectar de cranberry;Dans un shaker rempli de glaçons, versez tous les ingrédients. Shakez et servez dans un verre à vin. 
Péché mignon;3 cl de vodka,1 cl de crème de pêche,10 cl de nectar de pêche,6 cl de nectar de cranberry;Dans un shaker, mélangez les ingrédients, secouez énergiquement puis servez dans un verre tumbler rempli de glaçons. 
Lady Muscat;6 cl de rivesaltes rosé,3 cl de vodka,1 cl de sirop de fraise;Dans un verre long drink, versez 6 cl de rivesaltes rosé, 3 cl de vodka et 1 cl de sirop de fraise. 
Pure Brazilian;4 cl de cachaça,4 cl de nectar de mangue,2 cl de nectar de maracuja;Au shaker rempli de glace, mélangez la cachaça et les jus de fruits. Secouez énergiquement et versez en retenant les glaçons. 
Orange blossom;4 cl de gin,12 cl de jus d'orange;Dans un shaker, versez le gin puis le jus d'orange. Ajoutez des glaçons et mélangez énergiquement. Servez dans un verre. 
Virgin Colada;4 cl de jus d'orange,4 cl de jus d'ananas,4 cl de lait de coco;Au shaker à demi rempli de glaçons, versez les ingrédients. Frappez et passez dans le verre. 
Tequila Sunrise;4 cl de tequila,8 cl de jus d'orange,2 cl de sirop de grenadine;Dans un verre long drink rempli de glaçons, versez 4 cl de tequila, 8 cl de jus d'orange, 2 cl de grenadine. 
Samba Collins;4 cl de cachaça,10 cl de cocktail Caïpirinha,4 cl de nectar de citron vert,1 trait de bitter Angostura;Dans un shaker rempli de glace, mélangez la cachaça, le cocktail Caïpirinha et le nectar de citron vert.Ajoutez le bitter et secouez énergiquement. 
Mojito colada;4 cl de rhum blanc 40°,nectar de noix de coco,1 brin de menthe fraîche,1/2 citron vert;Dans un verre tumbler rempli de glace pilée, écrasez le citron vert en cubes et les feuilles de menthe effeuillées à l'aide d'un pilon. Ajoutez le rhum et le nectar de noix de coco. 
Sombrero;4 cl de tequila,2 cl de nectar de citron vert,4 cl de nectar de mangue,1 cl de sirop de canne roux;Dans un shaker rempli à moitié de glaçons, versez 4 cl de tequila, 2 cl de nectar de citron vert, 4 cl de nectar de mangue, 1 cl de sirop de canne roux. Shakez et versez dans un verre long drink. 
Blue Mountain;4 cl de rhum blanc 55°,1 trait de curaçao,2 cl de jus d'ananas,2 cl de nectar de maracuja,2 cl de lait de coco;Dans un shaker, versez le rhum, les jus de fruits et le lait de coco. Ajoutez un trait de curaçao. Agitez énergiquement et versez dans un verre rempli de glace. 
Violine;2 cl de crème de violette,12 cl de vin blanc sec,4 cl de compote pomme/framboise;Versez tous les ingrédients dans un verre à vin, complétez de glace pilée et remuez à la cuillère. 
Red Pink;12 cl de nectar goyave-framboise,1 trait de jus de citron vert;Dans un verre rempli de glace pilée, versez le nectar de goyave-framboise et le trait de citron vert. 
Nuage de Fruits Rouges;2 cl de crème de mûre,12 cl de champagne,2 fraises;"Dans un verre ""piscine"", déposez les fraises légèrement écrasées puis la crème de mûre et le champagne bien frais. Ajoutez des glaçons. "
Violette Impériale;2 cl de crème de violette,1 cl de marc de bourgogne,10 cl de cidre doux;Dans un coupe de champagne, versez la crème de violette, le marc de bourgogne puis le cidre doux bien frais. 
Rêve Estival;2 cl de crème de pêche,12 cl de vin rosé (côte de provence),un demi fruit de la passion;Dans un verre à vin, versez tous les ingrédients et complétez de glace pilée. 
